batch_size,client_num_in_total,cut_layer,partition_alpha,accuracy
32,17,9.0,0.4924135735858228,0.756
8,2,3.0,0.41102772390918335,0.764
64,5,9.0,0.1313572811441117,0.7746666666666666
8,2,6.0,2.8817843063754647,0.7586666666666667
64,6,9.0,1.0724140452415685,0.7666666666666667
64,17,8.0,0.1534779285958901,0.7706666666666667
128,6,7.0,2.850720787528541,0.756
32,16,2.0,7.561957456449993,0.7493333333333333
8,6,9.0,0.5471728643473659,0.76
128,4,4.0,9.442986241549304,0.7493333333333333
16,19,5.0,1.5077921840166906,0.748
64,8,9.0,14.59392947539871,0.7533333333333333
16,11,5.0,8.464398106421383,0.7466666666666667
8,10,4.0,0.1824340821760336,0.764
64,16,2.0,0.25268329712991777,0.7666666666666667
64,2,2.0,1.6547861144770246,0.76
64,9,2.0,1.9259720626223087,0.7786666666666666
32,16,4.0,4.088315227397115,0.764
64,1,9.0,10.995436403641989,0.76
64,8,5.0,0.15617394587891606,0.7626666666666667
64,16,7.0,2.1685894168867392,0.7506666666666667
8,18,9.0,3.3630821262980684,0.7626666666666667
16,3,9.0,1.3104239241253683,0.7533333333333333
128,1,5.0,0.3281333770531391,0.756
8,16,5.0,1.369191685855883,0.732
32,1,9.0,3.2597702412369736,0.756
64,14,7.0,1.4818234150913716,0.748
128,8,4.0,1.3182819147357796,0.7333333333333333
32,1,5.0,6.743488952231307,0.7506666666666667
8,16,4.0,0.281358455554337,0.7506666666666667
64,17,9.0,0.1137500950251065,0.756
8,14,6.0,19.430794448385193,0.7533333333333333
32,5,9.0,5.254402370810563,0.7453333333333333
128,3,5.0,0.96663956924525,0.756
8,1,9.0,0.14906442017692198,0.748
32,10,8.0,0.24547535353423044,0.7373333333333333
16,14,9.0,13.803735639787144,0.7426666666666667
16,2,8.0,2.601058237854002,0.76
32,17,9.0,0.4780490961301537,0.7573333333333333
8,16,8.0,0.20623851916446329,0.7773333333333333
128,3,3.0,0.4811480550187918,0.7426666666666667
8,7,2.0,2.5533561247014203,0.756
64,1,9.0,6.869120772681416,0.7533333333333333
64,15,5.0,10.968131644325524,0.744
16,19,2.0,0.16453385096683595,0.756
16,17,5.0,1.77272586548355,0.756
16,11,5.0,7.813193219961863,0.752
128,12,5.0,1.591099746037092,0.7386666666666667
128,6,6.0,1.1276669517080269,0.7413333333333333
64,11,9.0,15.403596595019248,0.6346666666666667
128,19,8.0,2.362490747747565,0.612
32,4,9.0,1.1395817246491853,0.6306666666666667
32,2,9.0,0.1115232812549434,0.704
64,2,9.0,14.442352339645913,0.6733333333333333
64,12,3.0,0.2642526057549916,0.7013333333333334
128,17,4.0,0.9860942908083908,0.6973333333333334
32,16,8.0,0.8319401612263677,0.7226666666666667
32,3,6.0,0.7586762940448893,0.7053333333333334
32,9,8.0,3.676275522134636,0.7066666666666667
16,14,3.0,15.255065745117381,0.7106666666666667
16,2,5.0,0.5022563311994769,0.732
64,7,5.0,1.0299214204601976,0.7426666666666667
128,3,7.0,8.26430780469112,0.768
8,8,5.0,0.39396759377547214,0.76
16,10,5.0,0.9512538336584953,0.756
128,12,3.0,17.02328271686738,0.7546666666666667
16,14,8.0,11.455777613940606,0.7373333333333333
64,8,6.0,0.12707770074499689,0.72
128,13,2.0,0.4210971105328152,0.7253333333333334
128,1,2.0,7.012604000905367,0.7426666666666667
8,12,9.0,5.983542473217019,0.7533333333333333
32,8,4.0,0.2867756918772505,0.7746666666666666
32,5,3.0,5.9527302458239735,0.752
16,7,2.0,0.184764351288412,0.7573333333333333
64,16,8.0,0.5773062784917183,0.756
128,8,7.0,4.773596444669527,0.7586666666666667
32,3,6.0,1.9563112740927744,0.7706666666666667
32,14,8.0,5.631047841350823,0.78
32,15,3.0,1.5952322469109683,0.764
16,19,8.0,1.0254782863641851,0.7346666666666667
8,4,7.0,0.5288622176491503,0.744
128,13,8.0,0.3746527260467629,0.744
32,13,9.0,0.29325806798716725,0.748
32,2,3.0,3.9693644104005226,0.7426666666666667
128,6,5.0,0.4789189027715981,0.752
64,11,9.0,0.31815444725000264,0.7346666666666667
16,7,7.0,0.19095368593454046,0.7306666666666667
8,13,2.0,0.4228481828788673,0.7413333333333333
32,8,4.0,0.10375213943059786,0.7493333333333333
8,1,4.0,1.304993374930606,0.7533333333333333
16,15,4.0,0.5982223525495426,0.744
8,17,3.0,0.8496482024526731,0.7546666666666667
64,7,3.0,0.3698871344627227,0.7626666666666667
32,17,9.0,0.4924135735858228,0.756
8,2,3.0,0.41102772390918335,0.764
64,5,9.0,0.1313572811441117,0.7746666666666666
8,2,6.0,2.8817843063754647,0.7586666666666667
64,6,9.0,1.0724140452415685,0.7666666666666667
64,17,8.0,0.1534779285958901,0.7706666666666667
128,6,7.0,2.850720787528541,0.756
32,16,2.0,7.561957456449993,0.7493333333333333
8,6,9.0,0.5471728643473659,0.76
128,4,4.0,9.442986241549304,0.7493333333333333
16,19,5.0,1.5077921840166906,0.748
64,8,9.0,14.59392947539871,0.7533333333333333
16,11,5.0,8.464398106421383,0.7466666666666667
8,10,4.0,0.1824340821760336,0.764
64,16,2.0,0.25268329712991777,0.7666666666666667
64,2,2.0,1.6547861144770246,0.76
64,9,2.0,1.9259720626223087,0.7786666666666666
32,16,4.0,4.088315227397115,0.764
64,1,9.0,10.995436403641989,0.76
64,8,5.0,0.15617394587891606,0.7626666666666667
64,16,7.0,2.1685894168867392,0.7506666666666667
8,18,9.0,3.3630821262980684,0.7626666666666667
16,3,9.0,1.3104239241253683,0.7533333333333333
128,1,5.0,0.3281333770531391,0.756
8,16,5.0,1.369191685855883,0.732
32,1,9.0,3.2597702412369736,0.756
64,14,7.0,1.4818234150913716,0.748
128,8,4.0,1.3182819147357796,0.7333333333333333
32,1,5.0,6.743488952231307,0.7506666666666667
8,16,4.0,0.281358455554337,0.7506666666666667
64,17,9.0,0.1137500950251065,0.756
8,14,6.0,19.430794448385193,0.7533333333333333
32,5,9.0,5.254402370810563,0.7453333333333333
128,3,5.0,0.96663956924525,0.756
8,1,9.0,0.14906442017692198,0.748
32,10,8.0,0.24547535353423044,0.7373333333333333
16,14,9.0,13.803735639787144,0.7426666666666667
16,2,8.0,2.601058237854002,0.76
32,17,9.0,0.4780490961301537,0.7573333333333333
8,16,8.0,0.20623851916446329,0.7773333333333333
128,3,3.0,0.4811480550187918,0.7426666666666667
8,7,2.0,2.5533561247014203,0.756
64,1,9.0,6.869120772681416,0.7533333333333333
64,15,5.0,10.968131644325524,0.744
16,19,2.0,0.16453385096683595,0.756
16,17,5.0,1.77272586548355,0.756
16,11,5.0,7.813193219961863,0.752
64,11,9.0,15.403596595019248,0.6346666666666667
128,19,8.0,2.362490747747565,0.612
32,4,9.0,1.1395817246491853,0.6306666666666667
32,2,9.0,0.1115232812549434,0.704
64,2,9.0,14.442352339645913,0.6733333333333333
64,12,3.0,0.2642526057549916,0.7013333333333334
128,17,4.0,0.9860942908083908,0.6973333333333334
32,16,8.0,0.8319401612263677,0.7226666666666667
32,3,6.0,0.7586762940448893,0.7053333333333334
32,9,8.0,3.676275522134636,0.7066666666666667
16,14,3.0,15.255065745117381,0.7106666666666667
16,2,5.0,0.5022563311994769,0.732
64,7,5.0,1.0299214204601976,0.7426666666666667
128,3,7.0,8.26430780469112,0.768
8,8,5.0,0.39396759377547214,0.76
16,10,5.0,0.9512538336584953,0.756
128,12,3.0,17.02328271686738,0.7546666666666667
16,14,8.0,11.455777613940606,0.7373333333333333
64,8,6.0,0.12707770074499689,0.72
128,13,2.0,0.4210971105328152,0.7253333333333334
128,1,2.0,7.012604000905367,0.7426666666666667
8,12,9.0,5.983542473217019,0.7533333333333333
32,8,4.0,0.2867756918772505,0.7746666666666666
32,5,3.0,5.9527302458239735,0.752
16,7,2.0,0.184764351288412,0.7573333333333333
64,16,8.0,0.5773062784917183,0.756
128,8,7.0,4.773596444669527,0.7586666666666667
32,3,6.0,1.9563112740927744,0.7706666666666667
32,14,8.0,5.631047841350823,0.78
32,15,3.0,1.5952322469109683,0.764
16,19,8.0,1.0254782863641851,0.7346666666666667
8,4,7.0,0.5288622176491503,0.744
128,13,8.0,0.3746527260467629,0.744
32,13,9.0,0.29325806798716725,0.748
32,2,3.0,3.9693644104005226,0.7426666666666667
128,6,5.0,0.4789189027715981,0.752
64,11,9.0,0.31815444725000264,0.7346666666666667
16,7,7.0,0.19095368593454046,0.7306666666666667
8,13,2.0,0.4228481828788673,0.7413333333333333
32,8,4.0,0.10375213943059786,0.7493333333333333
8,1,4.0,1.304993374930606,0.7533333333333333
16,15,4.0,0.5982223525495426,0.744
8,17,3.0,0.8496482024526731,0.7546666666666667
64,7,3.0,0.3698871344627227,0.7626666666666667
32,17,9.0,0.4924135735858228,0.756
8,2,3.0,0.41102772390918335,0.764
64,5,9.0,0.1313572811441117,0.7746666666666666
8,2,6.0,2.8817843063754647,0.7586666666666667
64,6,9.0,1.0724140452415685,0.7666666666666667
64,17,8.0,0.1534779285958901,0.7706666666666667
128,6,7.0,2.850720787528541,0.756
32,16,2.0,7.561957456449993,0.7493333333333333
8,6,9.0,0.5471728643473659,0.76
128,4,4.0,9.442986241549304,0.7493333333333333
16,19,5.0,1.5077921840166906,0.748
64,8,9.0,14.59392947539871,0.7533333333333333
16,11,5.0,8.464398106421383,0.7466666666666667
8,10,4.0,0.1824340821760336,0.764
64,16,2.0,0.25268329712991777,0.7666666666666667
64,2,2.0,1.6547861144770246,0.76
64,9,2.0,1.9259720626223087,0.7786666666666666
32,16,4.0,4.088315227397115,0.764
64,1,9.0,10.995436403641989,0.76
64,8,5.0,0.15617394587891606,0.7626666666666667
64,16,7.0,2.1685894168867392,0.7506666666666667
8,18,9.0,3.3630821262980684,0.7626666666666667
16,3,9.0,1.3104239241253683,0.7533333333333333
128,1,5.0,0.3281333770531391,0.756
8,16,5.0,1.369191685855883,0.732
32,1,9.0,3.2597702412369736,0.756
64,14,7.0,1.4818234150913716,0.748
128,8,4.0,1.3182819147357796,0.7333333333333333
32,1,5.0,6.743488952231307,0.7506666666666667
8,16,4.0,0.281358455554337,0.7506666666666667
64,17,9.0,0.1137500950251065,0.756
8,14,6.0,19.430794448385193,0.7533333333333333
32,5,9.0,5.254402370810563,0.7453333333333333
128,3,5.0,0.96663956924525,0.756
8,1,9.0,0.14906442017692198,0.748
32,10,8.0,0.24547535353423044,0.7373333333333333
16,14,9.0,13.803735639787144,0.7426666666666667
16,2,8.0,2.601058237854002,0.76
32,17,9.0,0.4780490961301537,0.7573333333333333
8,16,8.0,0.20623851916446329,0.7773333333333333
128,3,3.0,0.4811480550187918,0.7426666666666667
8,7,2.0,2.5533561247014203,0.756
64,1,9.0,6.869120772681416,0.7533333333333333
64,15,5.0,10.968131644325524,0.744
16,19,2.0,0.16453385096683595,0.756
16,17,5.0,1.77272586548355,0.756
